sig,chainHash,channel_id,timestamp,message_flags,channel_flags,time_lock_delta,htlc_minimum_msat,base_fee,fee_late,htlc_maximum_msat
null,null,11126,166759,null,0,40,1000,0,0,99519
null,null,5652,292233,null,0,144,1000,1000,1,99483
null,null,28357,300855,null,1,40,1000,1000,1,99283
null,null,28357,301654,null,1,40,1000,1000,1,99283
null,null,22021,389190,null,0,40,1000,1000,1,99697
null,null,23927,487292,null,1,40,1000,0,1,99988
null,null,2066,512517,null,1,14,1000,1,4,98860
null,null,30320,587821,null,0,40,1000,1000,1,100076
null,null,6129,767828,null,0,144,1000,1000,1,99045
null,null,29130,821312,null,1,40,1000,1000,1,100297
null,null,20087,851491,null,1,40,1000,1000,1700,100769
null,null,2720,943251,null,1,144,1000,1000,1,99129
null,null,163,957629,null,0,144,1000,1000,1,98923
null,null,26846,969257,null,1,40,1000,1000,1,99270
null,null,333,990458,null,1,144,1000,1000,100,100567
null,null,17943,1067589,null,1,40,1000,1000,1,100432
null,null,7197,1276086,null,1,40,1000,1000,1,99139
null,null,12984,1347227,null,1,40,1000,1000,1,99536
null,null,20927,1406957,null,1,140,1000,200,1,100672
null,null,239,1584585,null,0,144,1000,1000,1,98839
null,null,2765,1696643,null,0,144,1000,1000,1,100422
null,null,26698,1705313,null,1,40,1000,1000,1,100632
null,null,1001,1710023,null,1,144,1000,1000,1,100992
null,null,29719,1718540,null,0,40,1000,1000,1,99256
null,null,15403,2033011,null,1,40,1000,1000,1,100613
null,null,11239,2285860,null,1,40,1000,1000,1,100395
null,null,6054,2682743,null,1,144,1000,1000,1,98271
null,null,21081,2734507,null,1,42,1000,42,66,100153
null,null,1112,2806506,null,0,144,1000,1000,1,96826
null,null,18648,2889942,null,0,40,1000,1000,1,100016
null,null,26590,3030733,null,1,40,1000,1000,1,100556
null,null,20658,3031088,null,1,40,1000,1000,1,100376
null,null,3852,3148619,null,1,144,1000,450,1,99092
null,null,20756,3193971,null,0,40,1000,1000,1,100175
null,null,26390,3221781,null,1,40,1000,1000,1,100691
null,null,18540,3274204,null,1,40,1000,1000,1,100373
null,null,1801,3685862,null,1,144,1000,1000,1,99712
null,null,19690,3836103,null,0,40,1000,1000,1,100508
null,null,438,3915378,null,0,144,1,1000,1,97309
null,null,14238,4051397,null,0,40,1000,1000,1,97641
null,null,11353,4209392,null,0,40,1,1000,1,100206
null,null,28244,4275902,null,0,40,1000,849,489,98190
null,null,19527,4829057,null,0,40,1000,1000,1,100407
null,null,26745,5209612,null,1,40,1000,1000,1,98749
null,null,8058,5285694,null,1,40,1000,1000,1,101855
null,null,2131,5355889,null,0,144,1000,1000,1,100994
null,null,14212,5778913,null,1,40,1000,1000,1,100622
null,null,28969,5998958,null,1,40,1000,1000,1,99812
null,null,980,6051299,null,1,144,1000,1000,1,99274
null,null,10420,6166664,null,0,40,1000,1000,1,101596
null,null,8088,6347455,null,0,40,1000,1000,1,98912
null,null,24295,6752487,null,1,40,1000,1000,1,101734
null,null,29632,6928346,null,0,40,1000,1000,1,100596
null,null,24778,7016769,null,1,40,1000,0,0,101554
null,null,4396,7364795,null,1,144,1000,1000,1,102375
null,null,19003,7369444,null,0,10,1000,450,1,99767
null,null,8280,7455812,null,0,144,1,1000,100,98690
null,null,21314,7595714,null,1,34,1,489,1,100870
null,null,62,7605200,null,1,14,1000,1000,10,98475
null,null,4384,7878054,null,1,144,1000,1000,1,98237
null,null,29813,8032549,null,0,40,1000,1000,1,99007
null,null,8454,8166349,null,1,40,1000,1000,1,101118
null,null,15493,8637957,null,0,40,1000,1000,1,98918
null,null,13128,8693793,null,0,40,1000,0,1000,98091
null,null,8137,9015667,null,1,40,1000,1000,1,99212
null,null,28796,9035634,null,1,40,1,1000,1,101553
null,null,24336,9454745,null,1,40,1000,1000,2500,100562
null,null,4428,9569059,null,1,144,1000,1000,1,99794
null,null,8544,9572378,null,1,144,1000,987,1,99346
null,null,11001,9684958,null,1,40,1000,1,1,98404
null,null,4378,9843556,null,1,144,1000,1000,1,100718
